There is no tabular data in this document.
csv
Adopted 2021,page
Standard 3.6,"Develop a variety of journalistically sound pieces (see appendix) using standard writing conventions ensuring the principles of fairness, balance and accuracy."
Standard 3.7,Revise original pieces for content and style appropriate to the medium and audience.
Standard 3.8,Peer- and self-edit using journalism style manuals as references.

# Strand 4: Multimedia Tools
Standard,Description
Standard 4.1,"Analyze & evaluate photography, videography, and audio in journalism (e.g., emotional connection, how multimedia elements enhance text, reader response, storytelling quality of the photo)."
Standard 4.2,"Apply principles of photography such as composition, lighting, and other important photojournalism concepts."
Standard 4.3,"Apply principles of videography, such as wide, medium and close shots, length of shot, etc."
Standard 4.4,"Apply principles of audio production, such as natural sound, stereo, nonlinear editing."
csv
Standard,Description
Standard 4.5,"Use professional ethics in producing and selecting photos, videos, and audio for publication."
Standard 4.6,"Collect accurate information to provide context to the photo, video, or audio and connect it logically to the story that it illustrates (e.g. captions, metadata)."

# Strand 5: Technology & Design
Standard,Description
Standard 5.1,"Apply available technologies used in publishing to create designs appropriate for media (e.g., desktop publishing, photo editing, Web-based media, word processing)."
Standard 5.2,Analyze and apply principles of layout and design to create a visually appealing school publication that effectively communicates to the audience.

# Strand 6: Management & Organization
Standard,Description
Standard 6.1,"Apply organizational, economic, and management skills necessary to meet student media production schedules."
Standard 6.2,Develop and execute a marketing plan to maximize the awareness and readership of student media.
Standard 6.3,"Develop a business plan to learn principles of innovative funding models (e.g., advertising, sponsored content, nonprofit model)."
Standard 6.4,Investigate educational opportunities and careers in journalism and mass media.

# Strand 7: Digital Citizenship
Standard,Description
Standard 7.1,Demonstrate professional social media ethics in use and production.
Standard 7.2,"Develop meaningful, engaging content for multiple social media platforms adhering to each platform's guidelines."
Standard 7.3,Develop strategies for finding reliable sources on social media and contacting them for interviews.
csv
Types of Journalism Pieces/Medium,
Column,"Columns provide observations, experiences, reporting and opinions from a personal perspective. They should elicit emotion of some sort and may be humorous, sad, ironic, angry or express other emotions that are appropriate for the subject matter. Columns include personal essays, which build from a personal experience to make a broader point and should have some type of reported, verified facts behind them."
Copywriting,The art of creating written content that accompanies an advertising campaign. Advertising copywriting is based on the idea of marketing a particular product to a specific consumer audience.
Enterprise story,"Enterprise stories are news stories that take a deeper look into the topic. They require numbers that establish the trend or support the narrative and multiple sources, including someone who is living the problem or trend and experts who can bring perspective to the problem or trend."
Features,"Human-interest stories that may make readers laugh or cry, love or hate, envy or pity, such as a profile of a person, a ""how to,"" article, hobbies or other ""soft news."" (Bender, et al., 2019). These also have the element of objectivity and written in the third person."
Opinion,"Opinion articles are written with the aim to persuade. They may be written in the first, second or third person. They may express the opinion of a single person or an institution, such as an editorial board. An opinion article that expresses the opinion of the news organization's editorial board is an editorial. They should be based on facts that are attributed and verified."
News,"Serious or timely stories about important topics that inform or educate (Bender, et al., 2019). A key element is objectivity, written in the third person."
Podcast,"a digital audio file made available on the internet for downloading to a computer or mobile device, typically available as a series, new installments of which can be received by subscribers automatically that include interviews with newsworthy or entertaining people highlighted with audio production techniques such as natural sound, music, sound effects and good editing."
Reviews,"Critical essays on the performance of some type of art: visual, performing or written."
csv
Types of Standard Journalism Conventions:,
Lead or lede,"The first paragraph of a news story. Usually this includes a summary of the main point and covers the 5 W's: who, what, when, where, why and how. However, other types of ledes are possible, such feature ledes, anecdotal ledes that tell a little story and other creative ledes."
Nut graph,"When feature ledes are used, a nut graph should follow to summarize the importance of the story and any of the 5 W's that were not covered in the lede."
Attribution,"A journalistic way of citing sources. It consists primarily of ""So-and-so said."" or ""according to Source."""
Inverted pyramid,A way of organizing a journalistic story that highlights importance over chronology.
Other ways of organizing journalistic stories,
VO-SOT-VO,"Short for voiceover / sound on tape / voiceover, this is a broadcast journalism convention that has an announcer reading the news over recorded video, also known as b-roll, with a quote from an interviewee (SOT) in the middle. They often last from 30 to 60 seconds."
Package,"In broadcast journalism, this is a more fully reported story with the reporter appearing on camera to talk directly to the audience, as well as doing voiceovers and including SOTs. The package tells a more in-depth story and usually will last from 2 to 5 minutes."
AP Style,"Associated Press style is the standard guide to form and content in journalism. It covers topics from grammar, punctuation and capitalization to inclusive language and polling."
There is no tabular data in this image.
csv
Standard,Description
Standard 1.1,Prepare for and present in a variety of speech and debate formats (see appendix).
Standard 1.2,"Analyze current events and political atmosphere (e.g., domestic policy, economic policy, foreign policy, social climate)."
Standard 1.3,Collaborate to define issues and develop strategies.
Standard 1.4,"Research arguments to support substantive claims using a variety of primary and/or secondary sources including but not limited to historical, scientific, and technical texts:"
,central idea
,discrepancies in content
,explanation for action or events
,points of view
,specialized vocabulary
,textual evidence
Standard 1.5,"Evaluate researched texts for validity, reliability, and credibility of source, content, and/or author."
csv
Standard,Description
Standard 2.1,Compare and contrast classical and contemporary philosophers and their contributions to speech and debate.
Standard 2.2,"Explain the historical and contemporary role that speech and debate play in democratic society (e.g., diplomacy, government policy, justice system, politics)."
Standard 2.3,"Discuss ethical dilemmas and practices as found in various speaking topics, contentions, and presentations."
Standard 2.4,"Demonstrate ethical practices in speech and debate (e.g., behavior, courtesy, verbal and nonverbal communication)."
Standard 2.5,Demonstrate effective communication skills in speech and debate:
,"Speaking (e.g., framing questions, responding to questions, speaking extemporaneously, using appropriate language)"
,"Listening (e.g., critical and attentive listening demonstrated by note taking, critiquing)"
,"Nonverbal communication (e.g., attire, eye contact, facial expressions, gestures, proximity)"
Standard 2.6,"Analyze a variety of speech and debate structures for task, audience, and purpose."
Standard 2.7,Use speech and debate conventions appropriately (see appendix A).
Standard 2.8,Use speech and debate terminology effectively (see appendix A).
Standard 2.9,"Identify, develop, and argue stock issues:"
,Harm
,Inherency
,Significance
,Solvency
,Topicality
Standard 2.10,"Apply critical thinking skills when researching, preparing, and presenting arguments:"
,Causal arguments
,Logical fallacies
,Source validity
,Topic and analysis support using strong evidence
,"Challenge the status quo and current policy proposals, using a variety of arguments and rhetorical devices"
csv
Standard,Description
Standard 3.1,Apply principles of ethical communication appropriate to context:
,Academic honesty
,Bias
,Communication responsibility
,Plagiarism
,Respect for diversity
Standard 3.2,Identify and adjust behaviors and arguments based on evaluation paradigms (See appendix).
Standard 3.3,Present arguments using clear and concise language.
Standard 3.4,Demonstrate the process of refutation and cross examination in debate settings and provide effective rebuttals.
Standard 3.5,Demonstrate the ability to give and receive constructive criticism to self and peers.
Standard 3.6,Develop presentation skills to convey complex ideas:
,Extemporaneous speech
,Formal register
,Persuasive techniques
Standard 3.7,Analyze the reduction of communication barriers (see appendix).
Standard 3.8,Demonstrate mutual respect in interpersonal communication.
Standard 3.9,"Demonstrate appropriate critical, empathetic, appreciative, and reflective listening skills in formal and informal situations:"
,Active listening behaviors
,False assumptions
,Loaded terms
,Note-taking
,Sarcasm
csv
,
1.1:,"Speech and debate formats such as agent of action, ballot, burden of proof, card, claim, counter plans, data, fiat, flow, judge, presumption, resolution, status quo, stock issues, warrant."

# Table Separator
,
2.7:,"Speech and debate conventions such as affirmative, closing, constructive, cross examination, direct examination, negative, rebuttal, opening."

# Table Separator
,
2.8:,"Speech and Debate Terminology such as agent of action, ballot, burden of proof, card, claim, counter plans, data, fiat, flow, judge, presumption, resolution, status quo, stock issues, and warrant."

# Table Separator
,
3.2:,"Evaluation Paradigms such as appearance, games player, policymaker, stock issues, tabula rasa."

# Table Separator
,
3.7:,"Communication barriers such as adversarial mindset, bias, communication apprehension, environment, noise, nonverbal communication, perception, proxemics/spatial, reticence, semantics."
District,Name,City
District 1,Jennie L. Earl,"Morgan, UT"
District 2,Joseph Kerry,"Ogden, UT"
District 3,Brent Strate,"South Ogden, UT"
District 4,Leann Wood,"Kaysville, UT"
District 5,Sarah Reale,"Salt Lake City, UT"
District 6,Carol Barlow Lear,"Salt Lake City, UT"
District 7,Molly Hart,"Sandy, UT"
District 8,Christina Boggess,"Taylorsville, UT"
District 9,Natalie Cline,"Bluffdale, UT"
District 10,Matt Hymas,"Magna, UT"
District 11,Cindy Davis,"Cedar Hills, UT"
District 12,James Moss Jr.,"Midway, UT"
District 13,Randy Boothe,"Spanish Fork, UT"
District 14,Emily Green,"Cedar City, UT"
District 15,Kristan Norton,"St. George, UT"
,Sydnee Dickson,State Superintendent of Public Instruction
,Cybil Child,Secretary to the Board
csv
Standard,Description
Standard 1.1,"Generate and/or capture multiple ideas for writing through observation, processing, discussion, and reading."
Standard 1.2,"Focus ideas on addressing what is most significant and/or relevant for a specific genre, purpose, and audience."
Standard 1.3,"Use various techniques for organizing ideas such as outlining, storyboarding, timelines, and plotting."
Standard 1.4,Compose multiple drafts with revisions as needed showing growth based on self-evaluation and/or feedback.
Standard 1.5,"Edit following the conventions of English as appropriate for grade level, genre, and purpose."
csv
Standard,Description
Standard 2.1,"Analyze mentor texts, peer work, and student-created content in a wide variety of genres and modes for craft, style, voice, theme, elements of language, and conventions in order to determine the effects of such writing techniques on a text."
Standard 2.2,"Analyze craft, style, voice, theme, and conventions in their own and other student's writing in a variety of genres and modes."
Standard 2.3,"Understand the cliches and conventions of historical and contemporary genres (e.g., steampunk, stream-of-consciousness, flash fiction, novella, etc.)."
Standard 2.4,Determine the audience and purpose of a wide variety of genres.

# Strand 3: Craft and Creation
Standard,Description
Standard 3.1,"Produce writing based on historical and contemporary structures and forms (e.g., sonnet, villanelle, short story, script writing, etc.) and on a variety of idea-generation techniques (e.g., found poetry, plot structure outline, free-write, writing prompts, etc.)."
Standard 3.2,"Craft vivid writing with attention to sound elements (e.g., alliteration, assonance, consonance, rhyme), figurative language, sensory details, scenes, and purposeful word choice and syntax."
Standard 3.3,"Develop a range of characters (e.g., main characters vs support/side, flat vs round, protagonist vs antagonist)."
Standard 3.4,"Demonstrate an understanding of the impact of ""telling language"" and ""showing language."""
Standard 3.5,"Effectively weave together narration, description, and dialogue using correct conventions."
Standard 3.6,Distinguish among and incorporate various points of view and narrative tense.
Standard 3.7,Construct a finished product that demonstrates mastery of targeted writing techniques specific to the genre.

# Strand 4: Collaboration and Evaluation
Standard,Description
Standard 4.1,"Generate ideas and research in collaboration with others to draft, plan, present, and publish original work."
csv
Standard,Description
Standard 4.2,"Participate in consistent, collaborative discussions about writing produced by peers, self, and outside sources."
Standard 4.3,"Articulate, discuss, and reflect upon specific strengths of a piece of writing and provide suggestions for improvement."
Standard 4.4,"Consider differing perspectives and opinions when editing, critiquing, collaborating, and conferencing work."
Standard 4.5,"Evaluate personal and peer writing through the use of rubrics, checklists, and/or portfolios."

# Table: Strand 5 Standards
Standard,Description
Standard 5.1,Apply elements of design and layout into an aesthetically pleasing magazine and/or publication.
Standard 5.2,Organize the literary magazine and/or relevant publications based on a production schedule.
Standard 5.3,"Create products to solicit submissions as well as promote the publication such as posters, flyers, social media posts, videos and/or announcements."
There is no tabular data in this image.
csv
,
"Strand 1: Human Nature: Students will explore what it means to be human throughout time by studying the physical, social, aesthetic, and spiritual aspects of human nature.",
Standard 1.1:,"Analyze the interrelationships of religion, morals, ethics, and aesthetics present in the world's societies."
Standard 1.2:,"Examine exemplary works and artifacts as a means of expressing information, thoughts, and ideals within various cultures, places, and time periods."
Standard 1.3:,Evaluate exemplary works and artifacts' use of elements of form including literary or artistic elements to express aspects of human nature.

# Strand 2: Human Roles & Behavior
"Strand 2: Human Roles & Behavior: Students will examine how humans have elevated ideas, customs, and social behaviors in societies through the cultivation and refinement of literature, language, philosophy, fine arts, and performing arts throughout history.",
Standard 2.1:,"Examine how the innate desire for purpose, meaning, and fulfillment have motivated individuals to create exemplary works that express information, thoughts, and ideals within various cultures, places, and time periods."
Standard 2.2:,"Examine exemplary works and artifacts as a means of expressing information, thoughts, and ideals within various cultures, places, and time periods."
Standard 2.3:,Identify and evaluate potential aspects of motivation and inspiration in the production of exemplary works and artifacts.
csv
Standard,Description
Standard 3.1:,"Compare human ideals as defined by different cultures, places, and time periods."
Standard 3.2:,"Analyze exemplary works and artifacts as a means of discovering and expressing human ideals within various cultures, places, and time periods."
Standard 3.3:,"Evaluate exemplary works' and artifacts' use of elements of form to express human ideals within various cultures, places, and time periods."
csv
,
Strand 1: Reading and Analysis,Students will analyze a variety of digital and print texts to gather information and use as quality examples of professional and technical communication.
Standard 1.1:,Distinguish key differences in audience and purpose for professional and technical communications.
Standard 1.2:,"Examine and evaluate the structure, format, and syntax of a variety of professional and technical communications."
Standard 1.3:,Determine the meaning of professional and technical vocabulary to aid comprehension and conduct research.
Standard 1.4:,"Analyze and summarize information and data from multiple sources for reliability, relevance, accuracy, and rhetorical purpose."

# Strand 2: Oral Communication
Strand 2: Oral Communication,Students will engage in a variety of professional and technical oral communications.
Standard 2.1:,"Develop professional and technical oral communication techniques using language, syntax, and organization that are appropriate to the audience, purpose, and context."
Standard 2.2:,"Utilize appropriate delivery techniques (i.e., posture, gesture, eye contact, vocal expressiveness) to make presentations understandable."
Standard 2.3:,"Participate in clarifying discussions about the format and content of professional and technical communications produced by self, peers, teams, and outside sources."
csv
Standard,Description
Standard 2.4,"Apply critical, empathetic, appreciative, and reflective listening skills in formal and informal situations."

# Strand 3 Standards
Standard,Description
Standard 3.1,"Develop professional and technical written print and digital communications using language, syntax, format, and delivery methods that are appropriate to the audience, purpose, and context."
Standard 3.2,"Create charts, graphs, and other visuals using appropriate data to clarify professional and technical written digital and print communications."
Standard 3.3,Employ ethical and lawful practices when utilizing intellectual property.
Standard 3.4,"Revise original pieces for content and style appropriate to the audience, purpose, and context."
District,Name,City
District 1,Jennie L. Earl,Morgan, UT
District 2,Joseph Kerry,Ogden, UT
District 3,Brent Strate,"South Ogden, UT"
District 4,Leann Wood,Kaysville, UT
District 5,Sarah Reale,"Salt Lake City, UT"
District 6,Carol Barlow Lear,"Salt Lake City, UT"
District 7,Molly Hart,Sandy, UT
District 8,Christina Boggess,Taylorsville, UT
District 9,Natalie Cline,Bluffdale, UT
District 10,Matt Hymas,Magna, UT
District 11,Cindy Davis,"Cedar Hills, UT"
District 12,James Moss Jr.,Midway, UT
District 13,Randy Boothe,"Spanish Fork, UT"
District 14,Emily Green,"Cedar City, UT"
District 15,Kristan Norton,"St. George, UT"
,Sydnee Dickson,State Superintendent of Public Instruction
,Cybil Child,Secretary to the Board
csv
,
"Strand 1: Analysis of Genre. Students will develop an understanding of the genre of classical,
world, and indigenous myths, legends, and folklore",
Standard 1.1:,"Analyze the characteristics and purposes of different types of myths,
legends, and folklore from a variety of cultures."
Standard 1.2:,"Evaluate the significance of recurring themes, motifs, structures, and
patterns in myths, legends, and folklore."
Standard 1.3:,"Analyze the relevance and influence of myths, legends, and folklore on
literature, art, and societal values within their respective cultures."

# Strand 2: Relationships and Hierarchies of Characters and Deities
"Strand 2: Relationships and Hierarchies of Characters and Deities. Students will develop an
understanding of the relationships and hierarchies of characters and deities within myths,
legends, and folklore.",
Standard 2.1:,"Identify archetypal characters and/or deities within myths and the roles they
play across different cultures."
Standard 2.2:,"Describe the complexities of the relationships and interactions between the
characters and/or deities across and within different mythological and cultural
systems."
Standard 2.3:,"Derive meanings about the relationships of ""the divine,"" ""the human,"" and ""the
physical"" in regard to ""the cosmos"" using storytelling as a vehicle to moralize
themes such as force, violence, hubris, agency, fate, love, and knowledge."
csv
# Table: Strand 3 Standards
Standard,Description
Standard 3.1,"Describe how myths, legends, and folklore portray different versions of historical events, figures, and peoples."
Standard 3.2,"Analyze how myths, legends, and folklore reflect, influence, and shape the values of cultures and societies."
Standard 3.3,"Evaluate the influences and significance of classical and global myths, legends, and folklore on modern media and culture, including themes, motifs, and archetypes."
